index,id,org_id,url,breed_primary,breed_secondary,color_primary,color_secondary,color_tertiary,age,sex,size,coat,name,status,posted,contact_city,contact_state,contact_zip,contact_country,stateQ
3244,45682240,AR154,https://www.petfinder.com/dog/cher-45682240/ar/mountain-view/stone-county-humane-society-inc-ar154/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Airedale Terrier,Coonhound,,,,Baby,Female,Medium,,Cher,adoptable,2019-08-20T14:09:18+0000,Mountain View,AR,72560,US,AR
3245,45682239,AR154,https://www.petfinder.com/dog/bessie-45682239/ar/mountain-view/stone-county-humane-society-inc-ar154/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Hound,,,,,Adult,Female,Medium,,Bessie,adoptable,2019-08-20T14:09:17+0000,Mountain View,AR,72560,US,AR
3246,45670468,AR238,https://www.petfinder.com/dog/sissy-45670468/ar/malvern/stop-animal-cruelty-in-hot-spring-county-ar238/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,Pit Bull Terrier,Black,Black,,Young,Female,Medium,Medium,SISSY,adoptable,2019-08-19T14:48:59+0000,Malvern,AR,72104,US,AR
3247,45663196,AR335,https://www.petfinder.com/dog/butch-45663196/ar/mount-vernon/greener-days-ahead-rescue-ar335/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Shiba Inu,Border Terrier,,,,Baby,Male,Medium,,Butch,adoptable,2019-08-18T15:48:03+0000,mount vernon,AR,72111,US,AR
3248,45660231,AR35,https://www.petfinder.com/dog/thumper-45660231/ar/forrest-city/forrest-city-area-humane-society-ar35/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Terrier,Black Mouth Cur,,,,Young,Male,Small,,Thumper,adoptable,2019-08-18T05:13:50+0000,Forrest City,AR,72335,US,AR
3249,45656510,AR56,https://www.petfinder.com/dog/georgette-45656510/ar/heber-springs/heber-springs-humane-society-ar56/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,,Black,White / Cream,,Baby,Female,Medium,Short,Georgette,adoptable,2019-08-17T20:50:39+0000,Heber Springs,AR,72543,US,AR
3250,45656406,AR56,https://www.petfinder.com/dog/dotty-45656406/ar/heber-springs/heber-springs-humane-society-ar56/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Beagle,,Bicolor,,,Adult,Female,Medium,Short,Dotty,adoptable,2019-08-17T20:36:54+0000,Heber Springs,AR,72543,US,AR
3251,45656380,AR56,https://www.petfinder.com/dog/buffy-45656380/ar/heber-springs/heber-springs-humane-society-ar56/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,,Golden,White / Cream,,Adult,Female,Medium,Short,Buffy,adoptable,2019-08-17T20:02:36+0000,Heber Springs,AR,72543,US,AR
3252,45650859,AR238,https://www.petfinder.com/dog/charlie-45650859/ar/malvern/stop-animal-cruelty-in-hot-spring-county-ar238/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Beagle,,Black,White / Cream,,Baby,Male,Medium,Medium,CHARLIE,adoptable,2019-08-17T04:05:08+0000,Malvern,AR,72104,US,AR
3253,45633160,AR238,https://www.petfinder.com/dog/tank-45633160/ar/malvern/stop-animal-cruelty-in-hot-spring-county-ar238/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Staffordshire Bull Terrier,,Yellow / Tan / Blond / Fawn,,,Young,Male,Large,Medium,TANK,adoptable,2019-08-16T03:36:08+0000,Malvern,AR,72104,US,AR
3254,45623814,AR238,https://www.petfinder.com/dog/bailey-45623814/ar/malvern/stop-animal-cruelty-in-hot-spring-county-ar238/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Australian Cattle Dog / Blue Heeler,,Red / Chestnut / Orange,White / Cream,,Baby,Male,Medium,Medium,BAILEY,adoptable,2019-08-15T14:30:53+0000,Malvern,AR,72104,US,AR
3255,45620655,AR35,https://www.petfinder.com/dog/laken-45620655/ar/forrest-city/forrest-city-area-humane-society-ar35/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,,,,,Adult,Female,Large,,Laken,adoptable,2019-08-15T05:30:40+0000,Forrest City,AR,72335,US,AR
3256,45620649,AR35,https://www.petfinder.com/dog/edie-45620649/ar/forrest-city/forrest-city-area-humane-society-ar35/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Shepherd,Labrador Retriever,,,,Baby,Female,Medium,,Edie,adoptable,2019-08-15T05:30:40+0000,Forrest City,AR,72335,US,AR
3257,45617646,AR238,https://www.petfinder.com/dog/bella-and-ari-45617646/ar/malvern/stop-animal-cruelty-in-hot-spring-county-ar238/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dalmatian,Boxer,Black,White / Cream,Golden,Adult,Female,Medium,Medium,BELLA  &  ARI,adoptable,2019-08-14T23:35:19+0000,Malvern,AR,72104,US,AR
3258,45593157,AR213,https://www.petfinder.com/dog/tux-45593157/ar/newport/jackson-county-humane-society-ar213/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,American Staffordshire Terrier,Black,White / Cream,,Adult,Male,Medium,Short,Tux,adoptable,2019-08-13T01:46:51+0000,Newport,AR,72112,US,AR
3259,45580648,AR238,https://www.petfinder.com/dog/bb-and-pearl-45580648/ar/malvern/stop-animal-cruelty-in-hot-spring-county-ar238/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,Hound,Black,Gray / Blue / Silver,,Baby,Female,Medium,Medium,BB & PEARL,adoptable,2019-08-12T03:30:21+0000,Malvern,AR,72104,US,AR
